Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"FaceBreaker K.O. Party
",Wii,Fighting,Electronic Arts,EA Freestyle,6.5,6.7,N/A,N/A,0.22,0.19,0.01,N/A,0.02,11th Nov 08,N/A,2008
"Dragon Ball: Raging Blast 2
",PS3,Fighting,Namco Bandai,Spike,6.4,6,N/A,N/A,0.83,0.43,0.19,0.11,0.10,02nd Nov 10,N/A,2010
"Dragon Ball Z: Battle of Z
",X360,Fighting,Namco Bandai Games,ArtDink,6.2,N/A,N/A,N/A,0.07,0.01,0.05,0.00,0.00,28th Jan 14,18th Oct 18,2014
"Mortal Kombat 11: Aftermath
",PS4,Fighting,Unknown,NetherRealm Studios,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th May 20,N/A
"My Hero One’s Justice 2
",PS4,Fighting,Bandai Namco Entertainment,Byking,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Mar 20,06th Dec 19,2020
"Rag Doll Kung Fu: Fists of Plastic
",PSN,Fighting,Sony Computer Entertainment,Tarsier Studios,6,6.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Apr 09,N/A,2009
"Samurai Shodown
",PS4,Fighting,SNK,SNK Playmore,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 19,04th May 19,2019
"Shovel Knight Showdown
",NS,Fighting,Unknown,Yacht Club Games,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Dec 19,N/A
"SNK Heroines Tag Team Frenzy
",NS,Fighting,NIS America,SNK Corporation,6,N/A,N/A,N/A,0.05,0.02,0.01,0.01,0.00,07th Sep 18,04th Aug 18,2018
"Tekken Hybrid
",PS3,Fighting,Namco,Namco Bandai Games,5.2,4,N/A,N/A,0.36,0.21,0.07,0.04,0.04,22nd Nov 11,N/A,2011
"Tournament of Legends
",Wii,Fighting,Sega,High Voltage Software,5.2,N/A,N/A,N/A,0.07,0.04,0.02,N/A,0.01,06th Jul 10,N/A,2010
"Bounty Battle
",NS,Fighting,Unknown,DarkScreen Games,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Sep 20,N/A
"Override 2: Super Mech League
",PC,Fighting,Unknown,The Balance Inc,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Jan 21,N/A
"TNA iMPACT!
",Wii,Fighting,Midway Games,Midway Studios Los Angeles,4.9,5.3,N/A,N/A,0.16,0.14,0.01,N/A,0.01,16th Sep 08,N/A,2008
"Transformers: Prime
",3DS,Fighting,Activision,Now Production,3.4,N/A,N/A,N/A,0.19,0.14,0.03,N/A,0.02,30th Oct 12,06th Jan 19,2012
"One Punch Man: A Hero Nobody Knows
",PS4,Fighting,Bandai Namco Entertainment,Bandai Namco Games,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 20,26th Jul 19,2020
"Rhythm Heaven
",DS,Music,Nintendo,Nintendo SPD Group No.1,8.9,8.5,N/A,3.04,N/A,N/A,N/A,N/A,N/A,05th Apr 09,31st May 18,2009
"Next Hatsune Miku: Project Diva
",PS3,Music,Sega,Sega,8.1,N/A,N/A,N/A,0.28,0.08,N/A,0.19,0.02,27th Aug 13,19th Oct 18,2013
"Rhythm Heaven Fever
",Wii,Music,Nintendo,Nintendo,7.9,N/A,N/A,N/A,0.00,N/A,0.00,N/A,0.00,13th Feb 12,01st May 19,2012
"Dance Central 2
",X360,Music,Microsoft,Harmonix Music Systems,7.2,8.6,N/A,N/A,2.04,1.45,0.41,0.01,0.16,25th Oct 11,10th Aug 18,2011
"Hatsune Miku: Project Diva MegaMix
",NS,Music,Sega,Sega,7,N/A,N/A,0.15,N/A,N/A,N/A,N/A,N/A,15th May 20,24th Jan 20,2020
"Love Live! School Idol Festival ~After School Activity~ Wai-Wai! Home Meeting!!
",PS4,Music,Unknown,BushiRoad,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Feb 21,N/A
"Musynx
",NS,Music,PM Studios,PM Studios,7,7.5,N/A,N/A,0.01,0.01,N/A,N/A,0.00,19th Jun 18,07th Jan 18,2018
"Rock Band Blitz
",PS3,Music,Unknown,Harmonix Music Systems,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 22,N/A
"Kingdom Hearts: Melody of Memory
",PS4,Music,Square Enix,Square Enix,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Nov 20,18th Sep 20,2020
"HarmoKnight
",3DS,Music,Nintendo,Game Freak,5.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 13,31st Aug 18,2013
"Rush Bros.
",PC,Music,Digital Tribe Games,XYLA Entertainment,5.5,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A,24th May 13,16th Apr 19,2013
"No Straight Roads
",XOne,Music,Unknown,Metronomik,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 20,N/A
"Clubhouse Games: 51 Worldwide Classics
",NS,Party,Nintendo,Nintendo,8,N/A,N/A,4.22,N/A,N/A,N/A,N/A,N/A,05th Jun 20,07th Apr 20,2020
"Mario Party Superstars
",NS,Party,Nintendo,Nintendo,8,N/A,N/A,9.38,N/A,N/A,N/A,N/A,N/A,29th Oct 21,15th Jun 21,2021
"Nintendo Land
",WiiU,Party,Nintendo,Nintendo,8,7.5,N/A,5.21,N/A,N/A,N/A,N/A,N/A,18th Nov 12,25th Aug 20,2012
"Fall Guys: Ultimate Knockout
",XS,Party,Unknown,Mediatonic,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 21,N/A
